user_id,date,screen_time_minutes,keystroke_speed_wpm,sleep_hours_last_night,task_switch_frequency_per_hr,break_frequency_per_hr,stress_level
U0001,2025-02-03,314.96,63.73,6.15,7.01,0.78,81.99
U0001,2025-02-04,295.51,71.22,6.47,11.13,0.1,90.77
U0001,2025-02-05,283.88,66.86,7.07,11.1,0.17,100.0
U0001,2025-02-06,225.61,66.71,7.02,9.68,0.92,87.87
U0001,2025-02-07,282.01,73.46,6.27,10.75,0.24,100.0
U0001,2025-02-08,140.0,68.5,6.28,16.49,0.7,88.03
U0001,2025-02-09,253.75,60.37,7.4,13.14,0.57,87.36
U0001,2025-02-10,258.47,62.34,6.33,8.95,0.1,100.0
U0001,2025-02-11,381.6,56.33,7.71,14.84,0.13,100.0
U0001,2025-02-12,325.7,60.51,6.85,12.66,0.1,100.0
U0001,2025-02-13,388.11,57.32,7.05,16.78,0.1,100.0
U0001,2025-02-14,329.39,60.39,6.98,12.1,0.1,100.0
U0001,2025-02-15,239.58,71.48,8.74,12.77,0.53,82.18
U0001,2025-02-16,230.37,68.02,8.76,11.5,0.42,85.28
U0001,2025-02-17,386.62,61.87,5.8,11.33,0.34,100.0
U0001,2025-02-18,293.2,68.81,7.32,11.67,0.64,100.0
U0001,2025-02-19,321.11,65.59,5.78,11.48,1.02,100.0
U0001,2025-02-20,351.42,64.74,5.17,12.52,0.1,100.0
U0001,2025-02-21,279.6,61.2,8.16,13.81,0.1,100.0
U0001,2025-02-22,177.24,64.5,8.13,13.65,0.55,97.08
U0001,2025-02-23,166.85,70.28,7.41,8.46,0.9,85.81
U0001,2025-02-24,331.26,58.32,6.38,14.26,0.71,100.0
U0001,2025-02-25,347.8,60.45,6.79,13.66,0.1,100.0
U0001,2025-02-26,419.15,63.02,5.62,13.33,0.63,100.0
U0001,2025-02-27,415.28,58.36,8.2,11.58,0.1,100.0
U0001,2025-02-28,230.67,63.08,5.86,15.15,0.23,100.0
U0001,2025-03-01,249.82,59.9,9.36,9.93,0.59,93.27
U0002,2025-01-01,310.28,68.4,9.0,5.09,1.77,23.16
U0002,2025-01-02,290.26,61.53,7.67,6.07,2.53,32.7
U0002,2025-01-03,283.0,76.13,7.91,5.23,2.59,25.47
U0002,2025-01-04,255.66,63.27,12.0,4.46,2.74,0.0
U0002,2025-01-05,161.27,73.66,9.8,1.48,1.41,0.0
U0002,2025-01-06,328.96,65.94,8.47,7.67,2.49,20.89
U0002,2025-01-07,332.51,70.29,8.72,4.93,0.97,20.43
U0002,2025-01-08,326.81,70.2,7.43,3.12,1.74,17.94
U0002,2025-01-09,339.65,66.14,8.68,4.05,1.59,20.27
U0002,2025-01-10,288.05,68.66,7.3,1.0,1.95,24.34
U0002,2025-01-11,230.88,67.81,10.75,4.56,2.31,0.98
U0002,2025-01-12,150.76,80.24,9.71,4.38,1.69,0.0
U0002,2025-01-13,252.21,83.76,9.59,7.24,1.94,9.86
U0002,2025-01-14,305.83,64.59,7.13,2.16,1.68,15.38
U0002,2025-01-15,336.34,64.0,10.42,4.99,3.19,18.56
U0002,2025-01-16,367.86,63.99,8.3,2.23,2.46,30.89
U0002,2025-01-17,322.0,65.12,7.34,4.03,1.7,24.06
U0002,2025-01-18,139.28,70.32,10.29,4.83,2.12,0.0
U0002,2025-01-19,152.7,68.87,9.51,6.5,1.17,5.9
U0002,2025-01-20,322.35,69.77,8.08,1.0,1.77,13.49
U0002,2025-01-21,332.57,62.67,7.21,5.54,3.39,13.1
U0002,2025-01-22,278.34,73.4,8.59,3.85,2.42,12.29
U0002,2025-01-23,361.54,59.52,9.27,2.93,2.08,20.18
U0002,2025-01-24,367.78,70.06,9.23,4.18,1.76,21.75
U0002,2025-01-25,157.73,57.33,10.63,5.72,1.86,2.51
U0002,2025-01-26,235.22,59.02,9.99,4.3,2.01,8.31
U0002,2025-01-27,286.81,72.83,9.06,5.19,1.56,17.22
U0002,2025-01-28,322.27,70.06,8.9,4.17,2.32,27.97
U0002,2025-01-29,307.84,62.91,8.92,3.37,2.75,18.54
U0002,2025-01-30,333.98,67.02,8.39,3.04,1.78,24.29
U0002,2025-01-31,255.17,75.3,9.49,7.02,1.18,25.68
U0002,2025-02-01,153.59,59.48,9.18,7.99,2.33,3.09
U0002,2025-02-02,126.02,67.36,10.52,5.09,2.89,0.0
U0002,2025-02-03,316.57,77.78,8.95,7.69,2.8,14.33
U0002,2025-02-04,291.01,81.06,7.75,6.05,1.71,21.73
U0002,2025-02-05,270.44,63.31,9.81,1.69,2.41,12.3
U0002,2025-02-06,238.39,66.69,7.45,8.34,1.87,20.43
U0002,2025-02-07,284.4,72.39,8.49,4.69,2.54,13.75
U0002,2025-02-08,199.92,67.03,9.22,2.79,3.29,0.0
U0002,2025-02-09,175.59,67.8,10.25,5.31,3.28,0.0
U0002,2025-02-10,177.0,74.6,10.13,1.0,1.83,3.26
U0002,2025-02-11,261.67,62.82,7.33,8.5,2.47,30.21
U0002,2025-02-12,245.86,68.86,9.46,4.74,2.25,10.47
U0002,2025-02-13,286.36,71.93,8.39,5.89,1.82,29.78
U0002,2025-02-14,324.39,60.02,7.66,8.53,1.38,28.56
U0002,2025-02-15,97.78,61.97,11.55,8.51,0.96,6.59
U0002,2025-02-16,172.32,73.23,10.45,4.94,1.83,4.7
U0002,2025-02-17,326.92,69.22,10.89,4.63,2.01,11.58
U0002,2025-02-18,261.65,60.22,8.2,6.1,3.0,21.37
U0002,2025-02-19,320.38,69.65,8.27,6.97,2.83,27.31
U0002,2025-02-20,239.09,65.25,6.9,5.05,2.26,21.93
U0002,2025-02-21,262.68,60.75,8.92,3.4,2.67,15.17
U0002,2025-02-22,97.76,70.84,10.81,5.37,1.57,0.0
U0002,2025-02-23,182.16,59.92,9.66,6.97,1.82,3.84
U0002,2025-02-24,281.6,65.24,8.92,8.62,2.35,15.13
U0002,2025-02-25,340.44,59.56,9.37,7.29,1.34,19.61
U0002,2025-02-26,302.05,71.17,9.8,7.16,2.42,20.5
U0002,2025-02-27,221.93,72.46,8.67,5.27,2.22,19.03
U0002,2025-02-28,293.05,73.06,9.87,3.97,2.05,17.02
U0002,2025-03-01,162.76,63.16,9.8,7.56,1.87,2.88
U0003,2025-01-01,373.93,77.4,7.46,5.16,2.53,21.31
U0003,2025-01-02,403.3,74.52,10.36,1.64,1.12,12.88
U0003,2025-01-03,301.41,68.36,9.74,2.99,1.62,18.74
U0003,2025-01-04,193.73,76.36,10.68,4.67,1.59,8.68
U0003,2025-01-05,249.4,75.41,9.78,5.58,3.23,0.0
U0003,2025-01-06,386.9,69.83,8.42,4.01,1.92,15.57
U0003,2025-01-07,324.45,75.31,7.77,3.9,2.32,19.91
U0003,2025-01-08,431.55,81.93,7.43,3.77,1.81,26.92
U0003,2025-01-09,323.64,73.47,9.28,1.5,1.37,22.26
U0003,2025-01-10,338.62,74.07,8.0,4.97,2.59,37.73
U0003,2025-01-11,301.49,67.29,9.92,1.72,2.23,0.0
U0003,2025-01-12,278.83,75.48,10.75,7.13,2.58,6.43
U0003,2025-01-13,345.25,68.78,9.6,3.62,2.25,13.9
U0003,2025-01-14,370.51,73.18,9.35,2.28,2.37,16.82
U0003,2025-01-15,373.91,70.94,11.11,6.08,2.02,20.93
U0003,2025-01-16,341.82,73.92,7.51,7.15,1.49,29.71
U0003,2025-01-17,340.3,73.59,8.25,5.73,1.74,26.21
U0003,2025-01-18,216.93,82.35,8.41,2.1,0.9,5.53
U0003,2025-01-19,292.39,79.5,9.94,4.56,1.43,1.44
U0003,2025-01-20,293.26,69.49,9.58,4.91,2.12,10.89
U0003,2025-01-21,365.25,71.8,9.3,6.9,1.83,21.84
U0003,2025-01-22,377.33,75.23,8.92,6.14,2.22,24.42
U0003,2025-01-23,418.12,75.41,10.28,2.94,1.98,19.33
U0003,2025-01-24,360.1,65.79,8.19,5.26,1.66,31.41
U0003,2025-01-25,229.45,72.82,9.79,4.65,1.66,12.89
U0003,2025-01-26,277.27,75.08,9.95,3.07,1.98,0.0
U0003,2025-01-27,385.53,81.86,7.79,3.25,2.02,16.97
U0003,2025-01-28,316.84,71.54,8.86,8.6,2.32,17.27
U0003,2025-01-29,374.31,68.96,9.52,8.62,2.18,23.87
U0003,2025-01-30,409.14,70.27,9.63,7.63,2.1,33.99
U0003,2025-01-31,345.28,73.97,8.26,2.94,1.74,27.26
U0003,2025-02-01,319.65,75.13,11.58,5.08,2.06,0.12
U0003,2025-02-02,291.01,72.39,9.42,6.87,2.44,0.0
U0003,2025-02-03,372.01,78.18,8.05,8.37,1.77,28.22
U0003,2025-02-04,288.43,70.08,8.91,6.6,2.09,20.41
U0003,2025-02-05,333.76,74.93,7.69,5.99,2.13,21.08
U0003,2025-02-06,376.48,71.49,8.28,1.7,1.97,20.39
U0003,2025-02-07,413.61,64.25,10.01,4.28,1.44,16.07
U0003,2025-02-08,171.9,71.59,11.61,1.0,2.13,0.0
U0003,2025-02-09,309.44,77.2,11.68,4.3,1.83,0.0
U0003,2025-02-10,378.23,79.44,11.02,4.39,2.19,7.6
U0003,2025-02-11,394.65,73.21,8.4,6.47,1.96,22.46
U0003,2025-02-12,403.15,74.68,6.95,7.0,0.55,42.4
U0003,2025-02-13,319.68,76.17,8.81,5.55,1.67,27.98
U0003,2025-02-14,401.06,75.43,8.78,5.3,2.18,37.47
U0003,2025-02-15,221.71,73.29,10.39,5.4,2.22,0.0
U0003,2025-02-16,315.42,67.22,11.12,5.61,1.62,0.0
U0003,2025-02-17,377.24,80.12,9.28,6.13,2.18,7.79
U0003,2025-02-18,388.79,76.45,8.01,4.4,2.69,18.8
U0003,2025-02-19,304.4,64.73,9.07,3.23,2.78,7.14
U0003,2025-02-20,435.8,78.0,8.64,3.62,3.13,26.08
U0003,2025-02-21,341.47,72.85,8.62,2.69,1.23,30.95
U0003,2025-02-22,304.2,75.77,8.62,6.19,2.43,9.7
U0003,2025-02-23,233.41,75.71,10.73,4.93,1.52,0.0
U0003,2025-02-24,370.01,79.91,7.96,6.84,1.21,17.66
U0003,2025-02-25,355.87,72.15,9.89,3.06,2.28,21.81
U0003,2025-02-26,290.23,75.15,9.17,4.96,2.28,18.11
U0003,2025-02-27,383.15,73.64,10.31,7.41,2.19,19.09
U0003,2025-02-28,298.79,81.7,9.35,2.51,1.65,15.88
U0003,2025-03-01,323.79,68.81,11.34,5.48,1.61,10.28
U0004,2025-01-01,318.99,85.01,6.08,8.66,1.13,37.14
U0004,2025-01-02,248.99,75.49,7.72,8.28,2.84,20.4
U0004,2025-01-03,398.11,77.61,6.83,4.59,1.71,25.07
U0004,2025-01-04,149.75,79.68,7.11,3.46,2.12,0.0
U0004,2025-01-05,242.34,73.64,8.09,2.53,2.35,10.86
U0004,2025-01-06,402.54,81.64,6.0,5.59,2.16,24.6
U0004,2025-01-07,261.21,86.08,6.43,5.28,2.43,24.03
U0004,2025-01-08,261.51,83.49,5.73,6.67,2.81,41.73
U0004,2025-01-09,310.92,79.23,6.45,8.03,1.0,46.12
U0004,2025-01-10,314.08,66.09,5.56,8.84,0.74,55.53
U0004,2025-01-11,317.01,77.95,8.15,6.87,1.34,30.22
U0004,2025-01-12,257.31,79.54,7.32,8.07,1.28,29.03
U0004,2025-01-13,308.94,75.61,5.07,7.67,1.87,57.21
U0004,2025-01-14,361.63,71.07,6.24,9.51,0.1,68.01
U0004,2025-01-15,280.17,73.95,5.89,9.95,0.99,74.19
U0004,2025-01-16,235.93,74.09,6.33,7.97,1.13,69.31
U0004,2025-01-17,343.6,70.95,5.3,12.98,0.83,91.8
U0004,2025-01-18,191.22,70.07,7.15,10.34,0.83,63.48
U0004,2025-01-19,258.41,75.39,8.2,13.99,0.38,59.68
U0004,2025-01-20,369.35,66.26,6.13,6.32,1.04,79.67
U0004,2025-01-21,208.23,75.81,5.69,8.75,0.72,76.77
U0004,2025-01-22,323.44,76.39,5.27,10.75,0.47,93.62
U0004,2025-01-23,285.01,57.63,5.82,11.02,0.1,95.73
U0004,2025-01-24,334.15,74.85,6.55,9.67,0.1,100.0
U0004,2025-01-25,246.29,74.02,7.67,11.73,1.12,83.23
U0004,2025-01-26,170.92,71.49,7.79,14.08,0.48,72.36
U0004,2025-01-27,304.36,63.65,6.5,9.14,1.08,84.13
U0004,2025-01-28,348.98,71.04,5.22,10.17,0.1,100.0
U0004,2025-01-29,383.83,63.36,6.87,10.58,0.49,95.32
U0004,2025-01-30,379.94,66.71,6.9,11.66,1.08,100.0
U0004,2025-01-31,351.53,65.36,7.01,12.3,0.63,100.0
U0004,2025-02-01,147.17,60.94,7.17,7.69,0.64,76.69
U0004,2025-02-02,189.91,70.68,7.28,11.26,0.1,85.91
U0004,2025-02-03,336.79,73.82,6.57,9.96,0.96,93.43
U0004,2025-02-04,357.88,64.43,7.15,12.59,0.52,98.58
U0004,2025-02-05,320.96,65.73,6.17,13.59,0.76,100.0
U0004,2025-02-06,401.43,69.58,6.57,17.62,0.43,100.0
U0004,2025-02-07,341.98,74.82,7.02,13.77,0.1,100.0
U0004,2025-02-08,166.55,71.0,7.55,8.74,0.72,82.95
U0004,2025-02-09,154.87,71.08,7.25,14.45,0.1,77.77
U0004,2025-02-10,287.91,76.94,5.81,11.67,0.25,100.0
U0004,2025-02-11,245.59,72.91,4.84,12.14,0.1,100.0
U0004,2025-02-12,311.51,75.45,8.48,16.86,1.07,100.0
U0004,2025-02-13,351.49,71.63,7.29,11.74,0.1,100.0
U0004,2025-02-14,304.43,71.17,6.09,15.08,0.1,100.0
U0004,2025-02-15,164.96,62.22,7.33,13.45,0.1,97.23
U0004,2025-02-16,230.78,73.52,7.95,14.23,0.1,93.3
U0004,2025-02-17,373.82,60.03,5.89,14.5,0.1,100.0
U0004,2025-02-18,359.54,66.85,5.73,14.22,0.1,100.0
U0004,2025-02-19,300.86,59.38,6.78,8.77,0.1,100.0
U0004,2025-02-20,304.26,68.29,7.92,11.46,0.1,100.0
U0004,2025-02-21,330.3,61.64,6.62,11.87,0.1,100.0
U0004,2025-02-22,163.3,65.0,6.92,16.79,0.1,100.0
U0004,2025-02-23,153.93,71.17,7.86,12.45,0.1,96.72
U0004,2025-02-24,301.02,60.68,4.7,14.98,0.1,100.0
U0004,2025-02-25,340.48,61.64,6.34,12.84,0.1,100.0
U0004,2025-02-26,327.6,62.46,5.25,15.68,0.1,100.0
U0004,2025-02-27,287.52,65.09,6.18,17.88,0.1,100.0
U0004,2025-02-28,417.42,63.01,6.88,14.61,0.1,100.0
U0004,2025-03-01,168.86,60.49,7.12,14.16,0.1,100.0
U0005,2025-01-01,316.3,73.99,7.11,5.17,2.44,17.85
U0005,2025-01-02,365.78,80.2,7.13,7.62,1.72,20.62
U0005,2025-01-03,335.36,84.51,7.34,7.38,2.27,32.87
U0005,2025-01-04,220.86,73.44,8.45,3.71,2.51,0.0
U0005,2025-01-05,212.46,81.48,8.24,4.6,1.42,0.53
U0005,2025-01-06,327.67,78.88,7.34,6.04,2.0,21.37
U0005,2025-01-07,370.74,84.83,7.09,2.62,1.87,20.87
U0005,2025-01-08,399.73,78.79,6.87,3.39,2.3,25.37
U0005,2025-01-09,400.4,79.43,7.44,4.39,1.02,27.04
U0005,2025-01-10,377.41,77.56,8.45,3.0,1.75,27.65
U0005,2025-01-11,173.61,75.62,9.19,3.67,0.99,4.15
U0005,2025-01-12,243.97,75.51,9.9,5.81,1.99,0.0
U0005,2025-01-13,265.99,83.61,7.46,4.07,2.1,17.39
U0005,2025-01-14,345.45,75.3,6.88,6.74,1.33,26.56
U0005,2025-01-15,365.34,71.09,9.08,6.45,2.33,13.46
U0005,2025-01-16,349.31,87.17,7.97,4.73,1.51,29.9
U0005,2025-01-17,221.28,81.91,7.02,3.93,1.95,26.0
U0005,2025-01-18,179.46,81.42,8.83,5.39,2.16,5.36
U0005,2025-01-19,215.58,86.86,8.11,4.55,1.83,3.7
U0005,2025-01-20,355.05,69.59,6.84,2.89,1.47,24.92
U0005,2025-01-21,352.09,74.42,8.85,5.17,1.77,14.06
U0005,2025-01-22,334.69,83.49,7.18,5.53,2.32,26.84
U0005,2025-01-23,289.61,68.52,9.83,6.02,2.69,15.56
U0005,2025-01-24,374.03,86.42,8.09,2.97,2.39,18.28
U0005,2025-01-25,296.74,76.79,8.67,5.25,2.28,4.17
U0005,2025-01-26,194.3,76.75,10.33,4.12,0.9,0.0
U0005,2025-01-27,251.34,80.7,5.07,5.68,1.14,29.94
U0005,2025-01-28,340.65,89.23,6.39,7.15,1.56,37.33
U0005,2025-01-29,279.17,76.92,6.95,6.61,0.57,41.35
U0005,2025-01-30,287.17,69.24,8.22,1.97,1.06,27.33
U0005,2025-01-31,360.5,74.96,7.65,5.29,1.69,24.27
U0005,2025-02-01,102.22,74.08,8.98,4.58,1.51,0.0
U0005,2025-02-02,222.08,76.83,8.72,7.45,2.58,9.42
U0005,2025-02-03,350.92,78.23,5.41,7.31,2.04,28.63
U0005,2025-02-04,321.67,73.95,7.5,1.61,1.68,31.02
U0005,2025-02-05,230.88,81.33,6.65,6.71,2.64,25.43
U0005,2025-02-06,265.33,82.27,7.99,7.0,1.66,31.16
U0005,2025-02-07,332.04,78.97,6.89,4.73,2.41,31.36
U0005,2025-02-08,257.74,69.36,6.89,7.07,2.56,4.1
U0005,2025-02-09,155.65,75.52,8.23,5.1,1.92,0.0
U0005,2025-02-10,243.29,73.64,8.35,6.93,2.81,8.01
U0005,2025-02-11,317.86,79.07,6.55,3.38,2.21,18.74
U0005,2025-02-12,343.63,77.7,7.13,4.13,1.95,22.85
U0005,2025-02-13,307.4,85.66,6.77,6.12,1.85,31.12
U0005,2025-02-14,371.84,79.52,6.81,4.79,2.22,21.21
U0005,2025-02-15,207.3,71.77,7.51,8.15,2.13,7.29
U0005,2025-02-16,163.6,74.57,9.87,4.66,1.76,0.0
U0005,2025-02-17,311.31,72.13,7.89,4.59,3.17,15.68
U0005,2025-02-18,263.72,80.15,8.04,4.07,1.95,29.72
U0005,2025-02-19,331.01,85.71,5.64,4.81,2.01,30.05
U0005,2025-02-20,336.02,77.52,8.01,7.25,1.97,16.64
U0005,2025-02-21,347.84,74.04,8.4,5.48,0.79,40.82
U0005,2025-02-22,196.58,79.1,8.37,6.04,2.32,5.82
U0005,2025-02-23,251.51,76.65,8.73,4.73,2.5,13.34
U0005,2025-02-24,407.12,76.46,7.33,6.9,2.55,19.78
U0005,2025-02-25,290.85,81.06,6.39,7.52,2.1,35.03
U0005,2025-02-26,338.01,74.7,7.66,6.39,2.59,25.46
U0005,2025-02-27,317.85,73.26,7.59,4.67,1.63,21.07
U0005,2025-02-28,283.39,76.13,7.0,1.21,2.11,22.95
U0005,2025-03-01,190.98,78.08,7.82,4.68,1.65,0.0
U0006,2025-01-01,198.2,82.03,6.47,5.58,1.04,36.94
U0006,2025-01-02,303.45,65.14,5.88,6.84,2.53,51.12
U0006,2025-01-03,266.25,84.27,6.95,4.52,1.87,44.34
U0006,2025-01-04,292.56,77.27,9.3,7.76,0.84,17.73
U0006,2025-01-05,125.73,77.5,8.57,7.79,1.86,9.48
U0006,2025-01-06,295.35,75.97,6.41,8.71,1.5,37.05
U0006,2025-01-07,266.4,85.4,7.47,5.13,1.56,40.07
U0006,2025-01-08,322.39,79.93,6.51,10.42,2.42,38.53
U0006,2025-01-09,251.63,81.22,7.26,6.59,1.11,47.25
U0006,2025-01-10,275.56,78.07,6.94,6.73,1.84,43.57
U0006,2025-01-11,169.13,76.5,5.4,4.69,1.21,33.35
U0006,2025-01-12,233.73,78.61,7.78,7.2,1.51,32.08
U0006,2025-01-13,304.8,71.61,6.46,8.68,1.68,41.99
U0006,2025-01-14,339.01,85.94,5.87,6.31,1.39,56.48
U0006,2025-01-15,224.81,77.75,5.86,6.26,1.55,57.8
U0006,2025-01-16,243.62,64.73,6.51,7.88,2.39,64.76
U0006,2025-01-17,276.54,77.66,6.72,9.36,0.59,73.67
U0006,2025-01-18,200.69,77.43,8.95,7.94,1.85,26.72
U0006,2025-01-19,179.87,78.5,6.08,8.28,1.29,47.45
U0006,2025-01-20,355.41,69.68,6.51,6.52,1.15,49.61
U0006,2025-01-21,363.14,77.79,6.56,8.64,0.58,60.07
U0006,2025-01-22,274.07,78.49,6.36,11.77,1.18,71.35
U0006,2025-01-23,359.39,71.26,5.44,7.24,0.69,86.9
U0006,2025-01-24,284.95,71.11,7.72,8.62,1.04,73.22
U0006,2025-01-25,95.19,76.81,8.24,7.4,1.13,43.39
U0006,2025-01-26,237.37,76.12,6.02,6.08,1.34,51.11
U0006,2025-01-27,303.3,75.0,6.78,5.31,0.76,59.8
U0006,2025-01-28,290.23,79.87,6.9,7.38,1.13,64.54
U0006,2025-01-29,232.42,72.32,6.65,10.21,1.81,70.31
U0006,2025-01-30,234.23,77.09,6.97,11.67,1.42,66.73
U0006,2025-01-31,231.25,73.64,7.37,6.38,1.35,66.93
U0006,2025-02-01,129.09,88.25,8.08,7.63,1.04,35.11
U0006,2025-02-02,160.22,72.52,8.98,3.93,1.59,22.41
U0006,2025-02-03,314.82,85.2,6.84,5.95,1.67,35.92
U0006,2025-02-04,232.35,80.13,8.12,4.68,1.4,37.19
U0006,2025-02-05,314.67,89.94,6.84,3.46,2.41,38.91
U0006,2025-02-06,228.51,85.71,5.84,6.71,1.19,38.96
U0006,2025-02-07,228.72,75.9,7.15,5.47,1.19,55.38
U0006,2025-02-08,200.3,81.81,8.25,7.69,2.15,19.62
U0006,2025-02-09,222.03,80.91,8.92,8.49,1.37,12.64
U0006,2025-02-10,173.24,76.7,7.43,4.34,1.14,26.78
U0006,2025-02-11,325.3,73.09,7.95,4.12,2.48,17.85
U0006,2025-02-12,309.16,88.09,6.27,2.66,1.43,37.41
U0006,2025-02-13,305.61,83.63,8.54,8.4,2.17,23.1
U0006,2025-02-14,243.46,82.61,7.79,3.09,0.85,25.43
U0006,2025-02-15,213.17,83.59,9.32,6.0,2.33,3.34
U0006,2025-02-16,140.59,75.95,9.08,2.56,2.53,1.0
U0006,2025-02-17,292.33,70.49,7.37,4.85,2.23,15.45
U0006,2025-02-18,353.37,74.23,6.02,4.7,2.34,32.34
U0006,2025-02-19,290.61,81.85,7.24,4.09,2.25,27.94
U0006,2025-02-20,264.7,71.05,7.23,7.61,1.66,27.59
U0006,2025-02-21,270.73,87.12,7.43,6.65,2.24,24.5
U0006,2025-02-22,180.13,82.79,9.45,3.72,1.5,0.0
U0006,2025-02-23,100.19,79.3,9.49,8.07,1.73,0.0
U0006,2025-02-24,343.98,84.5,5.62,5.13,2.59,34.3
U0006,2025-02-25,311.81,78.75,5.55,6.61,1.25,35.85
U0006,2025-02-26,286.18,80.98,7.08,4.57,1.61,30.01
U0006,2025-02-27,334.96,76.25,7.63,2.11,1.48,24.17
U0006,2025-02-28,282.61,81.97,4.99,6.14,1.39,46.92
U0006,2025-03-01,156.15,89.57,7.69,7.74,2.53,13.55
U0007,2025-01-01,385.88,57.94,6.65,5.78,1.34,37.53
U0007,2025-01-02,363.03,54.96,7.55,4.35,1.19,29.35
U0007,2025-01-03,343.72,58.34,6.87,3.27,1.93,32.45
U0007,2025-01-04,221.41,48.2,8.07,8.5,2.69,3.48
U0007,2025-01-05,257.22,59.08,8.57,3.6,1.56,15.22
U0007,2025-01-06,334.96,56.29,6.08,6.76,2.04,36.33
U0007,2025-01-07,382.76,48.9,7.12,7.5,2.25,32.52
U0007,2025-01-08,367.98,57.99,6.42,2.95,1.8,46.72
U0007,2025-01-09,350.67,60.22,6.11,4.51,1.8,51.68
U0007,2025-01-10,385.28,54.88,8.1,5.56,0.73,44.69
U0007,2025-01-11,218.87,62.22,7.88,3.31,2.2,13.1
U0007,2025-01-12,265.48,50.47,7.6,5.66,1.99,11.39
U0007,2025-01-13,315.71,50.08,6.71,5.58,1.07,19.81
U0007,2025-01-14,408.26,53.33,6.91,4.05,2.41,24.31
U0007,2025-01-15,350.72,50.35,5.01,6.44,3.22,45.92
U0007,2025-01-16,368.93,54.22,6.06,6.11,2.32,47.41
U0007,2025-01-17,316.61,56.07,6.74,4.82,1.9,51.72
U0007,2025-01-18,209.13,47.85,9.62,5.96,1.5,30.92
U0007,2025-01-19,234.49,52.0,8.31,4.38,1.44,16.98
U0007,2025-01-20,266.91,62.03,6.82,8.53,0.62,42.91
U0007,2025-01-21,361.08,48.48,7.43,7.88,1.67,40.01
U0007,2025-01-22,319.42,56.94,8.6,3.59,1.7,20.7
U0007,2025-01-23,399.69,54.49,7.03,5.46,1.18,35.8
U0007,2025-01-24,359.0,50.53,6.33,10.31,2.17,46.54
U0007,2025-01-25,253.69,63.76,8.72,6.59,1.98,16.55
U0007,2025-01-26,230.31,63.01,9.1,5.92,1.79,8.33
U0007,2025-01-27,352.75,52.37,7.4,4.7,2.41,26.97
U0007,2025-01-28,333.76,56.26,6.42,8.09,1.58,29.01
U0007,2025-01-29,332.47,49.25,7.0,4.44,1.74,31.66
U0007,2025-01-30,419.08,58.79,4.17,6.11,2.67,56.79
U0007,2025-01-31,381.64,61.89,7.89,7.49,2.12,43.86
U0007,2025-02-01,289.4,62.97,9.29,4.16,2.11,11.54
U0007,2025-02-02,249.94,57.79,7.76,8.4,2.54,12.74
U0007,2025-02-03,314.6,58.23,7.32,8.62,1.89,22.0
U0007,2025-02-04,326.95,51.92,5.73,7.29,1.77,31.25
U0007,2025-02-05,320.21,62.28,6.41,7.06,2.26,37.87
